,Time,Realized P&L,Unrealized P&L,Value,Daily Return
0,2021-07-28,0,0,100000,1900-01-01 00:00:00
0,2021-07-29,0,0,100000,0.0
0,2021-07-30,0,0,100000,0.0
0,2021-08-02,0,0,100000,0.0
0,2021-08-03,0,0,100000,0.0
0,2021-08-04,0,0,100000,0.0
0,2021-08-05,0,0,100000,0.0
0,2021-08-06,0,0,100000,0.0
0,2021-08-09,0,0,100000,0.0
0,2021-08-10,0,0,100000,0.0
0,2021-08-11,0,0,100000,0.0
0,2021-08-12,0,0,100000,0.0
0,2021-08-13,0,0,100000,0.0
0,2021-08-16,0,0,100000,0.0
0,2021-08-17,0,0,100000,0.0
0,2021-08-18,0,0,100000,0.0
0,2021-08-19,0,0,100000,0.0
0,2021-08-20,0,0,100000,0.0
0,2021-08-23,0,0,100000,0.0
0,2021-08-24,0,0,100000,0.0
0,2021-08-25,0,0,100000,0.0
0,2021-08-26,0,0,100000,0.0
0,2021-08-27,0,0,100000,0.0
0,2021-08-30,0,0,100000,0.0
0,2021-08-31,0,0,100000,0.0
0,2021-09-01,0,0,100000,0.0
0,2021-09-02,0,0,100000,0.0
0,2021-09-03,0,0,100000,0.0
0,2021-09-07,0,0,100000,0.0
0,2021-09-08,0,0,100000,0.0
0,2021-09-09,0,0,100000,0.0
0,2021-09-10,0,0,100000,0.0
0,2021-09-13,0,0,100000,0.0
0,2021-09-14,0,0,100000,0.0
0,2021-09-15,0,0,100000,0.0
0,2021-09-16,0,0,100000,0.0
0,2021-09-17,0,0,100000,0.0
0,2021-09-20,0,0,100000,0.0
0,2021-09-21,0,0,100000,0.0
0,2021-09-22,0,0,100000,0.0
0,2021-09-23,0,0,100000,0.0
0,2021-09-24,0,0,100000,0.0
0,2021-09-27,0,0,100000,0.0
0,2021-09-28,0,0,100000,0.0
0,2021-09-29,0,0,100000,0.0
0,2021-09-30,0,0,100000,0.0
0,2021-10-01,0,0,100000,0.0
0,2021-10-04,0,0,100000,0.0
0,2021-10-05,0,0,100000,0.0
0,2021-10-06,0,0,100000,0.0
0,2021-10-07,0,-34.76380199999767,99965.236198,-0.00034763802000001303
0,2021-10-08,0,-13.249747999998363,99986.750252,0.00021521535704058825
0,2021-10-11,0,-40.72117399999843,99959.27882600001,-0.00027475066377046945
0,2021-10-12,0,-173.47881199999756,99826.52118800001,-0.0013281172049178934
0,2021-10-13,0,-63.22207399999752,99936.77792600001,0.001104483424723912
0,2021-10-14,0,-121.81022599999778,99878.189774,-0.0005862521607750235
0,2021-10-15,0,153.9926140000025,100153.992614,0.0027613920579065213
0,2021-10-18,0,272.68141000000105,100272.68141,0.0011850630504311149
0,2021-10-19,0,370.68358400000034,100370.68358400001,0.0009773566700514583
0,2021-10-20,0,380.96795600000223,100380.96795600001,0.000102463903131512
0,2021-10-21,0,560.811192000001,100560.81119200001,0.0017916069117686862
0,2021-10-22,0,582.5836200000012,100582.58362,0.00021651006731068076
0,2021-10-25,0,536.5244760000005,100536.524476,-0.0004579236518124242
0,2021-10-26,0,382.5182880000011,100382.518288,-0.0015318431664779063
0,2021-10-27,0,694.8714880000007,100694.871488,0.0031116294483054157
0,2021-10-28,47.99308799999926,453.7908900000002,100501.78397799999,-0.0019175505876982296
0,2021-10-29,47.99308799999926,395.2379200000014,100443.231008,-0.0005826062750568394
0,2021-11-01,47.99308799999926,469.12691000000086,100517.119998,0.0007356293625610983
0,2021-11-02,47.99308799999926,571.5955000000013,100619.588588,0.0010194143047676145
0,2021-11-03,47.99308799999926,534.6515300000028,100582.64461799999,-0.00036716478886908823
0,2021-11-04,47.99308799999926,572.3474400000014,100620.340528,0.00037477549077351963
0,2021-11-05,47.99308799999926,513.7089300000007,100561.702018,-0.0005827699418656485
0,2021-11-08,47.99308799999926,539.5370400000011,100587.530128,0.00025683843333696864
0,2021-11-09,47.99308799999926,337.7914400000009,100385.78452799999,-0.002005672072306411
0,2021-11-10,47.99308799999926,334.3008200000022,100382.29390799999,-3.477205479251133e-05
0,2021-11-11,382.29390800000067,0,100382.29390799999,0.0
0,2021-11-12,382.29390800000067,0,100382.29390799999,0.0
0,2021-11-15,382.29390800000067,0,100382.29390799999,0.0
0,2021-11-16,382.29390800000067,0,100382.29390799999,0.0
0,2021-11-17,382.29390800000067,0,100382.29390799999,0.0
0,2021-11-18,382.29390800000067,0,100382.29390799999,0.0
0,2021-11-19,382.29390800000067,0,100382.29390799999,0.0
0,2021-11-22,382.29390800000067,0,100382.29390799999,0.0
0,2021-11-23,382.29390800000067,0,100382.29390799999,0.0
0,2021-11-24,382.29390800000067,0,100382.29390799999,0.0
0,2021-11-26,382.29390800000067,0,100382.29390799999,0.0
0,2021-11-29,382.29390800000067,0,100382.29390799999,0.0
0,2021-11-30,382.29390800000067,0,100382.29390799999,0.0
0,2021-12-01,382.29390800000067,-61.442128000000594,100320.85177999998,-0.0006120813303621172
0,2021-12-02,382.29390800000067,-178.24181700000008,100204.05209099999,-0.0011642613367770214
0,2021-12-03,382.29390800000067,33.458011999999144,100415.75191999998,0.0021126873073729156
0,2021-12-06,382.29390800000067,389.9379250000002,100772.23183299998,0.0035500397714892987
0,2021-12-07,382.29390800000067,627.1879090000002,101009.48181699999,0.0023543190389310863
0,2021-12-08,382.29390800000067,595.5542239999995,100977.84813199998,-0.00031317540126895286
0,2021-12-09,382.29390800000067,893.0278609999987,101275.32176899999,0.0029459296519286104
0,2021-12-10,382.29390800000067,667.3373769999998,101049.63128499998,-0.002228484492152847
0,2021-12-13,382.29390800000067,581.5635689999999,100963.85747699998,-0.0008488285103988355
0,2021-12-14,382.29390800000067,883.9033589999999,101266.19726699998,0.0029945348519283006
0,2021-12-15,382.29390800000067,455.6384019999987,100837.93230999999,-0.00422910081111096
0,2021-12-16,382.29390800000067,387.5057939999988,100769.79970199999,-0.0006756644691061684
0,2021-12-17,382.29390800000067,302.9475939999993,100685.24150199999,-0.0008391224379730632
0,2021-12-20,382.29390800000067,500.046218999998,100882.34012699999,0.0019575721531748386
0,2021-12-21,382.29390800000067,661.2537250000005,101043.547633,0.0015979754811106012
0,2021-12-22,382.29390800000067,700.1875849999979,101082.48149299998,0.0003853176270235647
0,2021-12-23,382.29390800000067,946.5610949999991,101328.85500299999,0.0024373512240799746
0,2021-12-27,382.29390800000067,883.2937249999995,101265.58763299999,-0.0006243766397846721
0,2021-12-28,382.29390800000067,888.7695119999989,101271.06341999999,5.407352219046041e-05
0,2021-12-29,382.29390800000067,816.9863589999986,101199.280267,-0.0007088219534369009
0,2021-12-30,382.29390800000067,802.579585999998,101184.87349399998,-0.00014236042946154829
0,2021-12-31,382.29390800000067,1058.7250989999993,101441.019007,0.0025314605252256327
0,2022-01-03,382.29390800000067,1113.5305199999966,101495.82442799999,0.0005402688334214723
0,2022-01-04,382.29390800000067,950.3095109999977,101332.60341899999,-0.0016081549159274817
0,2022-01-05,382.29390800000067,834.4646990000001,101216.758607,-0.0011432136162631609
0,2022-01-06,382.29390800000067,1044.12054,101426.414448,0.00207135501951848
0,2022-01-07,382.29390800000067,1240.6652449999983,101622.95915299999,0.0019378059065743559
0,2022-01-10,382.29390800000067,1139.4257560000005,101521.71966399999,-0.000996226540181505
0,2022-01-11,382.29390800000067,1053.190956999999,101435.48486499998,-0.0008494221658716817
0,2022-01-12,382.29390800000067,1316.4044569999987,101698.69836499999,0.002594885806976939
0,2022-01-13,382.29390800000067,1298.1858879999982,101680.47979599999,-0.0001791425976231983
0,2022-01-14,382.29390800000067,993.6244900000002,101375.91839799998,-0.0029952789228674197
0,2022-01-18,382.29390800000067,774.457989999999,101156.75189799999,-0.0021619187620036985
0,2022-01-19,382.29390800000067,408.7225529999996,100791.01646099999,-0.003615531639141399
0,2022-01-20,382.29390800000067,211.2131659999959,100593.50707399998,-0.0019595931654924517
0,2022-01-21,382.29390800000067,322.6057819999987,100704.89968999999,0.001107353936055413
0,2022-01-24,382.29390800000067,-315.51558300000033,100066.77832499999,-0.006336547347391525
0,2022-01-25,382.29390800000067,-460.5105850000018,99921.78332299998,-0.001448982413814616
0,2022-01-26,382.29390800000067,-285.80048100000204,100096.49342699998,0.001748468634063932
0,2022-01-27,382.29390800000067,5.376918999998452,100387.670827,0.00290896703801487
0,2022-01-28,382.29390800000067,300.0013919999983,100682.29529999998,0.0029348671064170916
0,2022-01-31,382.29390800000067,397.28926299999694,100779.58317099998,0.0009662857874873378
0,2022-02-01,382.29390800000067,466.1336879999981,100848.427596,0.0006831187710233353
0,2022-02-02,382.29390800000067,488.5930039999985,100870.88691199999,0.00022270368051711636
0,2022-02-03,382.29390800000067,403.1623279999985,100785.45623599998,-0.0008469309492096914
0,2022-02-04,382.29390800000067,338.7657559999989,100721.05966399999,-0.0006389470703908541
0,2022-02-07,382.29390800000067,697.2828409999984,101079.57674899999,0.0035595046973889385
0,2022-02-08,382.29390800000067,715.843211999998,101098.13711999998,0.00018362137631510413
0,2022-02-09,382.29390800000067,466.4408800000001,100848.73478799999,-0.002466933012860226
0,2022-02-10,382.29390800000067,473.72013799999877,100856.01404599998,7.217996353942544e-05
0,2022-02-11,382.29390800000067,414.255205999998,100796.549114,-0.0005896022419928904
0,2022-02-14,382.29390800000067,796.5760489999993,101178.86995699999,0.003792995359073182
0,2022-02-15,382.29390800000067,413.54717999999957,100795.84108799999,-0.003785660673644458
0,2022-02-16,382.29390800000067,322.1527849999984,100704.44669299998,-0.0009067278373144208
0,2022-02-17,382.29390800000067,297.9943299999977,100680.28823799998,-0.0002398946202807181
0,2022-02-18,382.29390800000067,6.359079999998357,100388.65298799999,-0.002896646951492532
0,2022-02-22,382.29390800000067,-354.62424900000224,100027.66965899998,-0.003595857880901739
0,2022-02-23,382.29390800000067,-210.01386600000296,100172.28004199998,0.0014457038086860524
0,2022-02-24,382.29390800000067,322.9576079999988,100705.25151599999,0.005320548496815111
0,2022-02-25,382.29390800000067,407.4790689999991,100789.77297699999,0.0008392954660022662
0,2022-02-28,382.29390800000067,600.8767399999979,100983.17064799998,0.0019188223694494456
0,2022-03-01,382.29390800000067,1009.7641919999987,101392.0581,0.004049065298467217
0,2022-03-02,382.29390800000067,2136.941034999998,102519.23494299999,0.011117013147995207
0,2022-03-03,382.29390800000067,2719.4113599999982,103101.70526799999,0.005681571124909893
0,2022-03-04,382.29390800000067,2259.439346999996,102641.73325499998,-0.004461342436619901
0,2022-03-07,382.29390800000067,1723.6741779999993,102105.96808599998,-0.0052197595657213535
0,2022-03-08,382.29390800000067,1985.2093129999976,102367.50322099999,0.002561408896096374
0,2022-03-09,382.29390800000067,2065.7666759999975,102448.06058399999,0.000786942735392164
0,2022-03-10,382.29390800000067,1594.6464159999996,101976.940324,-0.004598625462643205
0,2022-03-11,382.29390800000067,1250.199620999998,101632.49352899998,-0.0033776929755456307
0,2022-03-14,382.29390800000067,1676.6406819999993,102058.93458999999,0.004195912608188872
0,2022-03-15,382.29390800000067,1710.4716119999975,102092.76551999999,0.00033148425599292206
0,2022-03-16,382.29390800000067,1907.3590519999998,102289.65295999998,0.0019285151009198693
0,2022-03-17,382.29390800000067,2144.053421999997,102526.34732999999,0.002313962000561
0,2022-03-18,382.29390800000067,2201.297453999996,102583.59136199998,0.0005583348426111124
0,2022-03-21,382.29390800000067,2589.0276839999988,102971.321592,0.003779651549064819
0,2022-03-22,382.29390800000067,2649.667720999998,103031.96162899998,0.0005889021920128618
0,2022-03-23,382.29390800000067,2944.8481239999983,103327.14203199999,0.0028649401441360363
0,2022-03-24,382.29390800000067,3034.4960869999995,103416.78999499998,0.0008676129159967687
0,2022-03-25,382.29390800000067,3088.0972749999983,103470.39118299999,0.0005183025696561658
0,2022-03-28,1054.724541,2293.5303989999993,103348.25493999998,-0.001180398001820521
0,2022-03-29,1054.724541,2289.525674999999,103344.25021599999,-3.8749797975045834e-05
0,2022-03-30,1054.724541,2489.749011,103544.47355199998,0.0019374405018325485
0,2022-03-31,1054.724541,2511.7731839999997,103566.497725,0.00021270254456363618
0,2022-04-01,1054.724541,2503.7643389999994,103558.48887999999,-7.733046087229682e-05
0,2022-04-04,1054.724541,2545.8117299999994,103600.53627099999,0.00040602553643596646
0,2022-04-05,1054.724541,2762.0525549999984,103816.77709599999,0.002087255846189391
0,2022-04-06,1054.724541,2992.309512,104047.03405299998,0.002217916635834982
0,2022-04-07,1054.724541,3350.7079889999986,104405.43252999999,0.0034445813882349303
0,2022-04-08,1054.724541,3146.4807330000003,104201.20527399999,-0.001956097983132395
0,2022-04-11,1054.724541,2766.0572789999987,103820.78181999999,-0.0036508546422248118
0,2022-04-12,1054.724541,2683.965462,103738.69000299998,-0.0007907069814050812
0,2022-04-13,1054.724541,2679.9607379999998,103734.68527899998,-3.860395769295642e-05
0,2022-04-14,1054.724541,2579.849471999998,103634.57401299999,-0.0009650703207971182
0,2022-04-18,1054.724541,2573.842788,103628.56732899998,-5.796023245344496e-05
0,2022-04-19,1054.724541,2555.8223339999986,103610.54687499999,-0.00017389465534910234
0,2022-04-20,1054.724541,2651.9296799999993,103706.65422099999,0.0009275826534913687
0,2022-04-21,1054.724541,2415.666642,103470.39118299999,-0.0022781859059547477
0,2022-04-22,1054.724541,2353.597238999999,103408.32177999998,-0.0005998759866503649
0,2022-04-25,1054.724541,2159.381391000001,103214.10593199999,-0.0018781452465033185
0,2022-04-26,1054.724541,2131.3503329999985,103186.07487399998,-0.00027158165782567855
0,2022-04-27,1054.724541,2113.3300799999997,103168.05462099999,-0.00017463841920530054
0,2022-04-28,1054.724541,1806.9881909999986,102861.71273199999,-0.002969348313539361
0,2022-04-29,1054.724541,1758.9349199999997,102813.65946099999,-0.00046716382338681206
0,2022-05-02,1054.724541,1973.1735839999983,103027.89812499998,0.0020837568191146437
0,2022-05-03,1054.724541,2169.3921960000007,103224.11673699999,0.001904519218298976
0,2022-05-04,1054.724541,1784.9630129999987,102839.68755399999,-0.0037242186724587797
0,2022-05-05,1054.724541,1784.9630129999987,102839.68755399999,0.0
0,2022-05-06,1054.724541,1983.1843889999982,103037.90892999999,0.0019274793682732404
0,2022-05-09,1054.724541,2053.262637,103107.98717799998,0.0006801210227160102
0,2022-05-10,1054.724541,1881.0711629999987,102935.79570399999,-0.001670011011879517
0,2022-05-11,1054.724541,1901.1707609999994,102955.89530199999,0.00019526344419388062
0,2022-05-12,1054.724541,1734.3403589999998,102789.06489999998,-0.0016204065003819755
0,2022-05-13,1054.724541,1696.150760999999,102750.87530199999,-0.00037153366495891926
0,2022-05-16,1054.724541,1300.1805599999989,102354.90510099998,-0.0038536917552885936
0,2022-05-17,1054.724541,630.8509619999986,101685.57550299999,-0.006539301632291362
0,2022-05-18,1054.724541,650.9505599999993,101705.67510099999,0.00019766420065555617
0,2022-05-19,1054.724541,783.6105599999992,101838.33510099999,0.0013043519928289543
0,2022-05-20,1054.724541,1097.1707609999994,102151.89530199999,0.0030789996781567697
0,2022-05-23,1054.724541,1356.4601579999999,102411.18469899999,0.0025382729927177763
0,2022-05-24,1054.724541,1286.1105599999992,102340.83510099999,-0.0006869327623419987
0,2022-05-25,1054.724541,1483.0903589999998,102537.81489999998,0.0019247429318472373
0,2022-05-26,1054.724541,1647.9103589999995,102702.63489999999,0.0016074069860055795
0,2022-05-27,1054.724541,1649.9207609999994,102704.64530199999,1.957497976519671e-05
0,2022-05-31,1054.724541,1324.300158,102379.02469899999,-0.0031704564291374087
